selection1/image,selection1/url,selection1/selection2,selection1/selection2_url,selection1/selection3,selection1/selection3_url
https://static.noimg.net/serie/cover/original/c08ca22fca32d6bffecd644c831300f0.jpg,https://pelisplus.me/serie/mr-pickles/,Mr. Pickles,https://pelisplus.me/serie/mr-pickles/,2013,https://pelisplus.me/serie/mr-pickles/
https://static.noimg.net/serie/cover/original/71e7cdd7803901aeb1c81b8bd86b2381.jpg,https://pelisplus.me/serie/huevos-verdes-con-jamon/,Huevos Verdes con Jamón,https://pelisplus.me/serie/huevos-verdes-con-jamon/,2018,https://pelisplus.me/serie/huevos-verdes-con-jamon/
https://static.noimg.net/serie/cover/original/20667559ef9c9dce76599d2434026b35.jpg,https://pelisplus.me/serie/snoopy-en-el-espacio/,Snoopy en El Espacio,https://pelisplus.me/serie/snoopy-en-el-espacio/,2019,https://pelisplus.me/serie/snoopy-en-el-espacio/
https://static.noimg.net/serie/cover/original/6fa62dba9d46b34396b2a00bd58b58bb.jpg,https://pelisplus.me/serie/coraje-el-perro-cobarde/,"Coraje, El Perro Cobarde",https://pelisplus.me/serie/coraje-el-perro-cobarde/,1999,https://pelisplus.me/serie/coraje-el-perro-cobarde/
https://static.noimg.net/serie/cover/original/63e9df413cec491778b31ec6f36451df.jpg,https://pelisplus.me/serie/happy-tree-friends/,Happy Tree Friends,https://pelisplus.me/serie/happy-tree-friends/,1999,https://pelisplus.me/serie/happy-tree-friends/
https://static.noimg.net/serie/cover/original/40bdd8c735d2d63aa5b4a608e798fea8.jpg,https://pelisplus.me/serie/levius/,Levius,https://pelisplus.me/serie/levius/,2019,https://pelisplus.me/serie/levius/
https://static.noimg.net/serie/cover/original/c05dfbc0ab470f6764d26cb7dd784f54.jpg,https://pelisplus.me/serie/harley-quinn/,Harley Quinn,https://pelisplus.me/serie/harley-quinn/,2019,https://pelisplus.me/serie/harley-quinn/
https://static.noimg.net/serie/cover/original/ccbb7038114ca728096c3e3f1d102717.jpg,https://pelisplus.me/serie/elena-de-avalor/,Elena de Ávalor,https://pelisplus.me/serie/elena-de-avalor/,2016,https://pelisplus.me/serie/elena-de-avalor/
https://static.noimg.net/serie/cover/original/f8208e152edd561cc4b1aed71f8b7013.jpg,https://pelisplus.me/serie/undone/,Undone,https://pelisplus.me/serie/undone/,2019,https://pelisplus.me/serie/undone/
https://static.noimg.net/serie/cover/original/f71a33d59ee710948f3b71f9e6f39835.jpg,https://pelisplus.me/serie/star-vs-las-fuerzas-del-mal/,Star vs Las Fuerzas del Mal,https://pelisplus.me/serie/star-vs-las-fuerzas-del-mal/,2015,https://pelisplus.me/serie/star-vs-las-fuerzas-del-mal/
https://static.noimg.net/serie/cover/original/5a2845673c61bda681f7e609899f9a15.jpg,https://pelisplus.me/serie/el-increible-mundo-de-gumball/,El Increíble Mundo de Gumball,https://pelisplus.me/serie/el-increible-mundo-de-gumball/,2011,https://pelisplus.me/serie/el-increible-mundo-de-gumball/
https://static.noimg.net/serie/cover/original/0986e1c4213d6f27daa3e1d401d15d1f.jpg,https://pelisplus.me/serie/steven-universe/,Steven Universe,https://pelisplus.me/serie/steven-universe/,2013,https://pelisplus.me/serie/steven-universe/
https://static.noimg.net/serie/cover/original/3b1a0d8d082cfc4b23e2faefe4c16c12.jpg,https://pelisplus.me/serie/max-steel/,Max Steel,https://pelisplus.me/serie/max-steel/,2013,https://pelisplus.me/serie/max-steel/
https://static.noimg.net/serie/cover/original/0c6d9c480efe8a108b3f65dc62666256.jpg,https://pelisplus.me/serie/prodigiosa-las-aventuras-de-ladybug/,Prodigiosa: Las Aventuras de Ladybug,https://pelisplus.me/serie/prodigiosa-las-aventuras-de-ladybug/,2015,https://pelisplus.me/serie/prodigiosa-las-aventuras-de-ladybug/
https://static.noimg.net/serie/cover/original/4c2334b0b59d979773ed3d73c5883094.jpg,https://pelisplus.me/serie/clarence/,Clarence,https://pelisplus.me/serie/clarence/,2014,https://pelisplus.me/serie/clarence/
https://static.noimg.net/serie/cover/original/1bb586ee613a9db722e689d7f330b6a8.jpg,https://pelisplus.me/serie/escandalosos/,Escandalosos,https://pelisplus.me/serie/escandalosos/,2015,https://pelisplus.me/serie/escandalosos/
https://static.noimg.net/serie/cover/original/c59642c52c087043c3a5334737bf7d6b.jpg,https://pelisplus.me/serie/hora-de-aventura/,Hora de Aventura,https://pelisplus.me/serie/hora-de-aventura/,2010,https://pelisplus.me/serie/hora-de-aventura/
https://static.noimg.net/serie/cover/original/43f636153e4c389d3b781d272d218d34.jpg,https://pelisplus.me/serie/figaro-pho/,Figaro Pho,https://pelisplus.me/serie/figaro-pho/,2009,https://pelisplus.me/serie/figaro-pho/
