selection1/image,selection1/url,selection1/selection2,selection1/selection2_url,selection1/selection3,selection1/selection3_url
https://static.noimg.net/movie/cover/original/2320b39ea2e9f67ef7ce454aa1f344af.jpg,https://pelisplus.me/pelicula/lego-dc-shazam-magic-and-monsters/,LEGO DC: Shazam Magia y Monstruos,https://pelisplus.me/pelicula/lego-dc-shazam-magic-and-monsters/,2020,https://pelisplus.me/pelicula/lego-dc-shazam-magic-and-monsters/
https://static.noimg.net/movie/cover/original/6d2c326784b65d928b62ec35b4f75731.jpg,https://pelisplus.me/pelicula/la-bella-y-la-bestia-1991/,La Bella y La Bestia (1991),https://pelisplus.me/pelicula/la-bella-y-la-bestia-1991/,1991,https://pelisplus.me/pelicula/la-bella-y-la-bestia-1991/
https://static.noimg.net/movie/cover/original/00aa7e86617b3c96fc0be8c3d44cb41a.jpg,https://pelisplus.me/pelicula/maggie-simpson-jugando-con-el-destino/,Maggie Simpson: Jugando con El Destino,https://pelisplus.me/pelicula/maggie-simpson-jugando-con-el-destino/,2020,https://pelisplus.me/pelicula/maggie-simpson-jugando-con-el-destino/
https://static.noimg.net/movie/cover/original/11fa592ee0c212ff078dc32123513838.jpg,https://pelisplus.me/pelicula/los-ninos-del-mar/,Espíritus del Mar,https://pelisplus.me/pelicula/los-ninos-del-mar/,2019,https://pelisplus.me/pelicula/los-ninos-del-mar/
https://static.noimg.net/movie/cover/original/3db6b15eaed70a459ac7d7601687187a.jpg,https://pelisplus.me/pelicula/buda-2-camino-a-la-iluminacion/,Buda 2: Camino a La Iluminación,https://pelisplus.me/pelicula/buda-2-camino-a-la-iluminacion/,2014,https://pelisplus.me/pelicula/buda-2-camino-a-la-iluminacion/
https://static.noimg.net/movie/cover/original/cd32b3e8f4508e6ce9318434c2e053e0.jpg,https://pelisplus.me/pelicula/buda-el-gran-viaje/,Buda: El Gran Viaje,https://pelisplus.me/pelicula/buda-el-gran-viaje/,2011,https://pelisplus.me/pelicula/buda-el-gran-viaje/
https://static.noimg.net/movie/cover/original/eb334500227e53b5fc5a5eb55b58a1a5.jpg,https://pelisplus.me/pelicula/los-hermanos-willoughby/,Los Hermanos Willoughby,https://pelisplus.me/pelicula/los-hermanos-willoughby/,2020,https://pelisplus.me/pelicula/los-hermanos-willoughby/
https://static.noimg.net/movie/cover/original/d2cee083775ab20ef83aa2910d98472a.jpg,https://pelisplus.me/pelicula/mortal-kombat-legends-scorpions-revenge/,Mortal Kombat Leyendas: La venganza de Scorpion,https://pelisplus.me/pelicula/mortal-kombat-legends-scorpions-revenge/,2020,https://pelisplus.me/pelicula/mortal-kombat-legends-scorpions-revenge/
https://static.noimg.net/movie/cover/original/88ef9d30aca4d036203c637af55887c2.jpg,https://pelisplus.me/pelicula/klara-y-el-ladron-de-manzanas/,Klara y El Ladrón de Manzanas,https://pelisplus.me/pelicula/klara-y-el-ladron-de-manzanas/,2018,https://pelisplus.me/pelicula/klara-y-el-ladron-de-manzanas/
https://static.noimg.net/movie/cover/original/cbe35a47e63215b849c5edeab1916528.jpg,https://pelisplus.me/pelicula/aqui-estamos-notas-para-vivir-en-el-planeta-tierra/,Aquí Estamos: Notas Para Vivir en El Planeta Tierra,https://pelisplus.me/pelicula/aqui-estamos-notas-para-vivir-en-el-planeta-tierra/,2020,https://pelisplus.me/pelicula/aqui-estamos-notas-para-vivir-en-el-planeta-tierra/
https://static.noimg.net/movie/cover/original/5673941a5fd16a52a471aa9d977acc38.jpg,https://pelisplus.me/pelicula/la-princesa-mononoke/,La Princesa Mononoke,https://pelisplus.me/pelicula/la-princesa-mononoke/,1997,https://pelisplus.me/pelicula/la-princesa-mononoke/
https://static.noimg.net/movie/cover/original/7b133b8f665738ebb5da1adae4435f55.jpg,https://pelisplus.me/pelicula/el-progreso-del-peregrino/,El Progreso del Peregrino,https://pelisplus.me/pelicula/el-progreso-del-peregrino/,2019,https://pelisplus.me/pelicula/el-progreso-del-peregrino/
https://static.noimg.net/movie/cover/original/3dfa50d0e184c0eefee737f5e045675a.jpg,https://pelisplus.me/pelicula/metegol/,Metegol,https://pelisplus.me/pelicula/metegol/,2013,https://pelisplus.me/pelicula/metegol/
https://static.noimg.net/movie/cover/original/af5c82ca0332e34f4cbd997625f5dd9a.jpg,https://pelisplus.me/pelicula/violet-evergarden-eternity-and-the-auto-memories/,Violet Evergarden: La Eternidad y La Muñeca de Recuerdos Automáticos,https://pelisplus.me/pelicula/violet-evergarden-eternity-and-the-auto-memories/,2019,https://pelisplus.me/pelicula/violet-evergarden-eternity-and-the-auto-memories/
https://static.noimg.net/movie/cover/original/84161cb4fa32a3585cbf23c2d34328e4.jpg,https://pelisplus.me/pelicula/dino-king-viaje-a-la-montana-de-fuego/,Dino King: Viaje a La Montaña de Fuego,https://pelisplus.me/pelicula/dino-king-viaje-a-la-montana-de-fuego/,2019,https://pelisplus.me/pelicula/dino-king-viaje-a-la-montana-de-fuego/
https://static.noimg.net/movie/cover/original/9a6147f9055859aafd9dee6cd7b6077b.jpg,https://pelisplus.me/pelicula/el-viento-se-levanta/,El Viento Se Levanta,https://pelisplus.me/pelicula/el-viento-se-levanta/,2013,https://pelisplus.me/pelicula/el-viento-se-levanta/
https://static.noimg.net/movie/cover/original/af36dadfacf269ac546426dd683b740e.jpg,https://pelisplus.me/pelicula/el-cuento-de-la-princesa-kaguya/,El Cuento de La Princesa Kaguya,https://pelisplus.me/pelicula/el-cuento-de-la-princesa-kaguya/,2013,https://pelisplus.me/pelicula/el-cuento-de-la-princesa-kaguya/
https://static.noimg.net/movie/cover/original/6937810ebdd66f5fe766aad6f6e23dbf.jpg,https://pelisplus.me/pelicula/the-snow-queen-mirrorlands/,The Snow Queen: Mirrorlands,https://pelisplus.me/pelicula/the-snow-queen-mirrorlands/,2018,https://pelisplus.me/pelicula/the-snow-queen-mirrorlands/
https://static.noimg.net/movie/cover/original/057eb5460087ec2594419642beb72ac4.jpg,https://pelisplus.me/pelicula/trolls-2-world-tour/,Trolls 2: World Tour,https://pelisplus.me/pelicula/trolls-2-world-tour/,2020,https://pelisplus.me/pelicula/trolls-2-world-tour/
https://static.noimg.net/movie/cover/original/30467721bad52392604605386babb219.jpg,https://pelisplus.me/pelicula/mi-vecino-totoro/,Mi Vecino Totoro,https://pelisplus.me/pelicula/mi-vecino-totoro/,1988,https://pelisplus.me/pelicula/mi-vecino-totoro/
https://static.noimg.net/movie/cover/original/0cfeee383ae535ed25b252f1dc3867e7.jpg,https://pelisplus.me/pelicula/tu-nombre/,Tu Nombre (Kimi no Na wa),https://pelisplus.me/pelicula/tu-nombre/,2016,https://pelisplus.me/pelicula/tu-nombre/
https://static.noimg.net/movie/cover/original/60c5821f35b1df574338b377f4f40cfc.jpg,https://pelisplus.me/pelicula/unidos/,Unidos (Onward),https://pelisplus.me/pelicula/unidos/,2020,https://pelisplus.me/pelicula/unidos/
https://static.noimg.net/movie/cover/original/503f515b1154a43f297fd6a325dfbc41.jpg,https://pelisplus.me/pelicula/jose-el-rey-de-los-suenos/,Jose El Rey De Los Sueños,https://pelisplus.me/pelicula/jose-el-rey-de-los-suenos/,2000,https://pelisplus.me/pelicula/jose-el-rey-de-los-suenos/
https://static.noimg.net/movie/cover/original/91f01f4bf5a22e3f3ba483d651e97d97.jpg,https://pelisplus.me/pelicula/el-principe-de-egipto/,El Principe De Egipto,https://pelisplus.me/pelicula/el-principe-de-egipto/,1998,https://pelisplus.me/pelicula/el-principe-de-egipto/
https://static.noimg.net/movie/cover/original/783fd791711085d86c80be608ca8e809.jpg,https://pelisplus.me/pelicula/el-malvado-zorro-feroz/,El Malvado Zorro Feroz,https://pelisplus.me/pelicula/el-malvado-zorro-feroz/,2017,https://pelisplus.me/pelicula/el-malvado-zorro-feroz/
